address,postcode,area,property_type,bedrooms,tenure,sale_date,sold_price_gbp,metric,aggregation,source,collected_as_of
Flat 152 1 Isaac Way Manchester M4 7EE,M4 7EE,Manchester,flat,15,leasehold,2026-04-21,230000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 15 Island House Three Mill Lane Stratford London E3 3AF,E3 3AF,London,flat,,leasehold,2026-04-30,150000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
79 Selsdon Road South Croydon CR2 6PZ,CR2 6PZ,London,semi-detached,18,freehold,2026-04-30,480000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
132 Grosvenor Avenue Hayes UB4 8NP,UB4 8NP,London,flat,11,leasehold,2026-04-30,340000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
1159 Newham Way East Ham London E6 5JJ,E6 5JJ,London,terraced,19,freehold,2026-04-30,450000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
196a High Street Hornchurch RM12 6QP,RM12 6QP,London,flat,35,leasehold,2026-04-30,203000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
19 Forest Road Enfield EN3 6ST,EN3 6ST,London,flat,,leasehold,2026-04-30,185000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 6 175 Merton Road South Wimbledon London SW19 1EE,SW19 1EE,London,flat,9,leasehold,2026-04-29,325000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
38 Stanhope Road Barnet EN5 2QN,EN5 2QN,London,semi-detached,11,freehold,2026-04-29,750000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
15 Celestial Gardens London SE13 5RP,SE13 5RP,London,flat,12,leasehold,2026-04-29,200000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
137a Mount Pleasant Road London SE13 6HX,SE13 6HX,London,flat,6,leasehold,2026-04-28,380000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
7 Epping Court Highwood Close London SE22 8NJ,SE22 8NJ,London,flat,11,leasehold,2026-04-28,275000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Apartment 17 1 Gaumont Place London SW2 4FX,SW2 4FX,London,flat,22,leasehold,2026-04-28,500000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
52 Croham Valley Road South Croydon CR2 7NB,CR2 7NB,London,detached,20,freehold,2026-04-28,865000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat A 1 Springdale Road Hackney London N16 9NS,N16 9NS,London,flat,,leasehold,2026-04-28,859649,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
12 7 Graham Court Myers Lane London SE14 5RX,SE14 5RX,London,flat,13,leasehold,2026-04-28,195000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
40 Burnham Road Birmingham B47 6AT,B47 6AT,Birmingham,terraced,11,freehold,2026-04-29,270000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
12 Aldershaw Road Birmingham B26 1HJ,B26 1HJ,Birmingham,semi-detached,21,freehold,2026-04-28,282500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
123 Calshot Road Birmingham B42 2BZ,B42 2BZ,Birmingham,semi-detached,14,freehold,2026-04-27,230000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
157 Oldfield Road Birmingham B12 8TJ,B12 8TJ,Birmingham,terraced,12,freehold,2026-04-27,187500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
11 Coney Green Drive Birmingham B31 4DP,B31 4DP,Birmingham,terraced,16,freehold,2026-04-24,229000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
56 Highfield Road Hall Green Birmingham B28 0HW,B28 0HW,Birmingham,terraced,18,freehold,2026-04-24,410000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
46 Southfield Avenue Castle Bromwich Birmingham B36 9AX,B36 9AX,Birmingham,semi-detached,19,freehold,2026-04-24,340000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
246 Groveley Lane Northfield Birmingham B31 4QD,B31 4QD,Birmingham,terraced,13,freehold,2026-04-24,195000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
1 High Meadow Road Birmingham B38 9AP,B38 9AP,Birmingham,terraced,26,freehold,2026-04-24,268000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
32 Legging Road Birmingham B38 9ER,B38 9ER,Birmingham,terraced,23,freehold,2026-04-24,280000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
14 1540 Beech Court Bristol Road South Longbridge Birmingham B45 9TY,B45 9TY,Birmingham,flat,11,leasehold,2026-04-24,80000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
6 St Agnes Road Birmingham B13 9PP,B13 9PP,Birmingham,flat,16,leasehold,2026-04-24,195000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
25 Lady Bracknell Mews Birmingham B31 2FD,B31 2FD,Birmingham,semi-detached,39,freehold,2026-04-24,195000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
515 Kingsbury Road Tyburn Birmingham B24 9NJ,B24 9NJ,Birmingham,semi-detached,17,freehold,2026-04-24,295000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
23 Westfield Road Moseley And Kings Heath Birmingham B14 7SX,B14 7SX,Birmingham,terraced,34,freehold,2026-04-24,400000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
2 Abbeydale Vale Kirkstall Leeds LS5 3RD,LS5 3RD,Leeds,detached,16,freehold,2026-04-30,295000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
17 Brackenhurst Drive Moortown Leeds LS17 6WE,LS17 6WE,Leeds,flat,11,leasehold,2026-04-28,180000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
1 Peasehill Close Rawdon Leeds LS19 6EF,LS19 6EF,Leeds,detached,36,freehold,2026-04-27,485000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
2 The Oaks Middleton Leeds LS10 4GZ,LS10 4GZ,Leeds,detached,20,freehold,2026-04-27,345000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
41 Savile Place Chapeltown Leeds LS7 3EP,LS7 3EP,Leeds,terraced,,freehold,2026-04-27,195000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
6 8 Normington House Towler Drive Rodley Leeds LS13 1PB,LS13 1PB,Leeds,flat,12,leasehold,2026-04-24,161000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
3 Woodbridge Gardens Headingley Leeds LS6 3LW,LS6 3LW,Leeds,semi-detached,19,freehold,2026-04-24,207000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
30 St Chads Avenue Headingley Leeds LS6 3QF,LS6 3QF,Leeds,semi-detached,17,freehold,2026-04-24,475000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
604 Echo Central Two Cross Green Lane Cross Green Leeds LS9 8NR,LS9 8NR,Leeds,flat,13,leasehold,2026-04-24,137500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
31 King George Croft Leeds LS27 8LJ,LS27 8LJ,Leeds,detached,24,freehold,2026-04-24,298000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
24 Lakeside Chase Rawdon Leeds LS19 6RL,LS19 6RL,Leeds,terraced,18,freehold,2026-04-24,325000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
168 Pontefract Lane Richmond Hill Leeds LS9 8QJ,LS9 8QJ,Leeds,terraced,8,freehold,2026-04-24,115000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
128 Town Street Armley Leeds LS12 3JG,LS12 3JG,Leeds,terraced,20,freehold,2026-04-24,147000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
10 Green Hill Gardens Wortley Leeds LS12 4HE,LS12 4HE,Leeds,semi-detached,26,freehold,2026-04-24,220000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
20 Owlcotes Road Pudsey LS28 7PB,LS28 7PB,Leeds,semi-detached,21,freehold,2026-04-24,295000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
33 Walnut Crescent Bristol BS15 4HX,BS15 4HX,Bristol,semi-detached,12,freehold,2026-04-27,320000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
40 Fairway Brislington Bristol BS4 5DF,BS4 5DF,Bristol,semi-detached,21,freehold,2026-04-27,655000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
35 Shepton Walk Bedminster Bristol BS3 5NU,BS3 5NU,Bristol,terraced,23,freehold,2026-04-24,435000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
17 Thicket Road Fishponds Bristol BS16 4LW,BS16 4LW,Bristol,terraced,33,freehold,2026-04-24,427500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
14 Manilla Road Clifton Bristol BS8 4ED,BS8 4ED,Bristol,flat,15,leasehold,2026-04-24,410000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
24 Coronation Avenue Fishponds Bristol BS16 3TS,BS16 3TS,Bristol,terraced,23,freehold,2026-04-24,360000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
78 Vicarage Road Easton Bristol BS5 9AF,BS5 9AF,Bristol,terraced,29,freehold,2026-04-24,400000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
39 Materman Road Stockwood Bristol BS14 8ST,BS14 8ST,Bristol,semi-detached,,freehold,2026-04-24,350000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
231 Soundwell Road Bristol BS15 1PW,BS15 1PW,Bristol,terraced,21,freehold,2026-04-24,285000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
45 Pool Road Bristol BS15 1XN,BS15 1XN,Bristol,semi-detached,24,freehold,2026-04-24,390000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
14 Cedar Park Stoke Bishop Bristol BS9 1BW,BS9 1BW,Bristol,semi-detached,17,freehold,2026-04-23,750000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
12 Mansell Street Patchway BS34 4AH,BS34 4AH,Bristol,terraced,17,freehold,2026-04-23,555000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
15 Maywood Avenue Fishponds Bristol BS16 4AN,BS16 4AN,Bristol,terraced,17,freehold,2026-04-23,320000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
162 Longmead Avenue Bishopston Bristol BS7 8QQ,BS7 8QQ,Bristol,terraced,16,freehold,2026-04-22,600000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 41 Allen House Arthur Milton Street Bishopston Bristol BS7 9EY,BS7 9EY,Bristol,flat,,leasehold,2026-04-22,375000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 15 1 Meggetland View Slateford Edinburgh EH14 1XS,EH14 1XS,Edinburgh,flat,12,,2026-04-30,285000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 26 1 Drybrough Crescent Craigmillar Edinburgh EH16 4FB,EH16 4FB,Edinburgh,flat,17,,2026-04-30,210000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
15 Blackford Road Edinburgh EH9 2DT,EH9 2DT,Edinburgh,detached,47,,2026-04-30,1710000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
1f1 17 Millar Crescent Morningside Edinburgh EH10 5HN,EH10 5HN,Edinburgh,flat,32,,2026-04-30,420500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 47 31 Liberton Road Mayfield Edinburgh EH16 6AH,EH16 6AH,Edinburgh,flat,,,2026-04-30,340000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 2 197 Craigs Road North Gyle Edinburgh EH12 0AJ,EH12 0AJ,Edinburgh,terraced,,,2026-04-30,275000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 5 2 Lady Nairne Crescent Duddingston Edinburgh EH8 7PF,EH8 7PF,Edinburgh,flat,15,,2026-04-30,168000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 27 8 Simpson Loan Southside Edinburgh EH3 9GS,EH3 9GS,Edinburgh,flat,24,,2026-04-30,310000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
1f2 71 Cumberland Street Stockbridge Edinburgh EH3 6RD,EH3 6RD,Edinburgh,flat,19,,2026-04-30,620000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 13 165 Slateford Road Slateford Edinburgh EH14 1PD,EH14 1PD,Edinburgh,flat,22,,2026-04-30,285000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
1f3 22 Orwell Place Dalry Edinburgh EH11 2AF,EH11 2AF,Edinburgh,flat,29,,2026-04-30,242500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
25 Craighall Crescent Trinity Edinburgh EH6 4SL,EH6 4SL,Edinburgh,semi-detached,13,,2026-04-30,455000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 1 39 Watson Crescent Polwarth Edinburgh EH11 1ER,EH11 1ER,Edinburgh,flat,10,,2026-04-30,192000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
6 Alnwickhill Court Alnwickhill Edinburgh EH16 6YG,EH16 6YG,Edinburgh,terraced,22,,2026-04-30,235000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
11 Caiystane Hill Caiystane Edinburgh EH10 6SX,EH10 6SX,Edinburgh,detached,22,,2026-04-30,450000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
14 Sark Road Liverpool L13 6QU,L13 6QU,Liverpool,terraced,16,freehold,2026-04-27,135000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
11 Foxdale Road Liverpool L15 5AL,L15 5AL,Liverpool,terraced,11,freehold,2026-04-27,225000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
2 St Dunstans Grove Bootle L30 2NH,L30 2NH,Liverpool,terraced,21,freehold,2026-04-24,155000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
2 The Serpentine Liverpool L19 9DT,L19 9DT,Liverpool,semi-detached,34,freehold,2026-04-24,670000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
12 Alundale Court Clairville Close Bootle L20 7HJ,L20 7HJ,Liverpool,flat,11,leasehold,2026-04-24,71500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
22 Lancaster Avenue Liverpool L17 3AZ,L17 3AZ,Liverpool,terraced,42,freehold,2026-04-24,675000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
87 Longridge Drive Bootle L30 1RA,L30 1RA,Liverpool,semi-detached,21,leasehold,2026-04-24,207000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
4 Redington Road Liverpool L19 4UD,L19 4UD,Liverpool,semi-detached,17,leasehold,2026-04-24,357000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
11 Ling Street Liverpool L7 2QE,L7 2QE,Liverpool,terraced,14,freehold,2026-04-24,250000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
70 Maiden Lane Liverpool L13 9AW,L13 9AW,Liverpool,terraced,42,freehold,2026-04-24,200000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
38 Goswell Street Liverpool L15 4JU,L15 4JU,Liverpool,terraced,18,freehold,2026-04-24,125000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
49 Elstead Road Liverpool L9 6BD,L9 6BD,Liverpool,terraced,12,freehold,2026-04-22,140000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
193 Liverpool Road Liverpool L23 0RX,L23 0RX,Liverpool,semi-detached,28,freehold,2026-04-22,375000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
8 Haileybury Avenue Liverpool L10 6LP,L10 6LP,Liverpool,semi-detached,29,freehold,2026-04-21,295000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
61 Colebrooke Road Liverpool L17 7BY,L17 7BY,Liverpool,terraced,13,freehold,2026-04-21,385000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
54 Longford Road Sheffield S17 4LQ,S17 4LQ,Sheffield,semi-detached,31,freehold,2026-04-27,382000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
15 Ibbotson Road Sheffield S6 5AD,S6 5AD,Sheffield,terraced,,freehold,2026-04-27,225000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
45 Queen Victoria Road Sheffield S17 4HT,S17 4HT,Sheffield,semi-detached,25,freehold,2026-04-27,322000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
10 Frederick Street Catcliffe Rotherham S60 5SY,S60 5SY,Sheffield,terraced,11,freehold,2026-04-24,121500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
20 Stead Street Sheffield S21 4FY,S21 4FY,Sheffield,semi-detached,10,freehold,2026-04-24,220000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
85 Headford Gardens Sheffield S3 7XB,S3 7XB,Sheffield,flat,10,leasehold,2026-04-23,100000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
11 Fanshaw Avenue Sheffield S21 4HU,S21 4HU,Sheffield,semi-detached,20,freehold,2026-04-23,220000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
31 Peveril Road Sheffield S11 7AP,S11 7AP,Sheffield,terraced,21,leasehold,2026-04-21,318000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
21 Doveholes Drive Sheffield S13 9DR,S13 9DR,Sheffield,semi-detached,24,freehold,2026-04-21,265000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
1 Willbury Drive Sheffield S12 2TG,S12 2TG,Sheffield,semi-detached,,leasehold,2026-04-20,218000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
156 Standon Road Sheffield S9 1PH,S9 1PH,Sheffield,terraced,15,leasehold,2026-04-17,115000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
40 Walford Road Sheffield S21 1HX,S21 1HX,Sheffield,terraced,20,freehold,2026-04-17,213500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Apartment 19 64 Ashton Point Upper Allen Street Sheffield S3 7GN,S3 7GN,Sheffield,flat,16,leasehold,2026-04-17,100000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
106 Newman Road Sheffield S9 1LS,S9 1LS,Sheffield,terraced,14,freehold,2026-04-17,140000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
44 Stanley Road Burncross Sheffield S35 2XS,S35 2XS,Sheffield,detached,24,freehold,2026-04-17,457500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
7 Cambria Mews Nottingham NG3 4GZ,NG3 4GZ,Nottingham,terraced,1,freehold,2026-04-24,101250,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
11 Anderson Court Whitcombe Gardens Nottingham NG5 9EQ,NG5 9EQ,Nottingham,flat,11,leasehold,2026-04-21,49950,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 2 43 Burns Street Nottingham NG7 4DS,NG7 4DS,Nottingham,flat,11,leasehold,2026-04-21,154000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
5 Wordsworth Road Nottingham NG7 5QU,NG7 5QU,Nottingham,terraced,14,freehold,2026-04-20,150000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
174a Birkin Avenue Nottingham NG7 5GH,NG7 5GH,Nottingham,semi-detached,2,freehold,2026-04-20,165000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 5 The Wedge Vernon Road Nottingham NG6 0AU,NG6 0AU,Nottingham,flat,9,leasehold,2026-04-17,92950,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
11 Turnberry Road Nottingham NG6 9LY,NG6 9LY,Nottingham,semi-detached,16,freehold,2026-04-17,170000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
75 Hamilton Road Nottingham NG5 1AU,NG5 1AU,Nottingham,terraced,17,freehold,2026-04-17,177000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
8 Cannon Street Nottingham NG5 2HB,NG5 2HB,Nottingham,semi-detached,14,freehold,2026-04-17,285000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
22 Kinlet Road Nottingham NG5 5JT,NG5 5JT,Nottingham,semi-detached,19,freehold,2026-04-17,175000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
6 Edgware Road Nottingham NG6 9HW,NG6 9HW,Nottingham,terraced,9,freehold,2026-04-17,106500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
59 Marshall Hill Drive Nottingham NG3 6FQ,NG3 6FQ,Nottingham,detached,25,freehold,2026-04-16,415000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
26 Verder Grove Nottingham NG5 9BH,NG5 9BH,Nottingham,semi-detached,12,freehold,2026-04-16,155000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
26a Bentley Avenue Nottingham NG3 7AX,NG3 7AX,Nottingham,detached,25,freehold,2026-04-16,265000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
20 Bowlwell Avenue Nottingham NG5 9HX,NG5 9HX,Nottingham,terraced,27,freehold,2026-04-15,220000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
126 Craddock Street Riverside Cardiff CF11 6EY,CF11 6EY,Cardiff,terraced,32,freehold,2026-04-27,131147,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
103 Colchester Avenue Penylan Cardiff CF23 9AY,CF23 9AY,Cardiff,terraced,21,freehold,2026-04-24,250000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
20 Handley Road Splott Cardiff CF24 2HF,CF24 2HF,Cardiff,terraced,11,freehold,2026-04-24,220000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
47 Westbourne Road Whitchurch Cardiff CF14 2BR,CF14 2BR,Cardiff,semi-detached,29,freehold,2026-04-24,425000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
183 King&#x27;s Road Pontcanna Cardiff CF11 9DF,CF11 9DF,Cardiff,terraced,20,freehold,2026-04-23,350000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
37 Hansen Court Heol Glan Rheidol Butetown Cardiff CF10 5NX,CF10 5NX,Cardiff,flat,14,leasehold,2026-04-23,150000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
13 Mostyn Road Ely Cardiff CF5 4QE,CF5 4QE,Cardiff,terraced,17,freehold,2026-04-22,140000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
15 Armoury Drive Heath Cardiff CF14 4NP,CF14 4NP,Cardiff,detached,32,freehold,2026-04-22,242000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
9 Gwern Catherine Creigiau Cardiff CF5 6GD,CF5 6GD,Cardiff,terraced,18,freehold,2026-04-21,215000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
170 Moorland Road Splott Cardiff CF24 2LQ,CF24 2LQ,Cardiff,terraced,32,freehold,2026-04-21,297650,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
33 Wyndham Crescent Pontcanna Cardiff CF11 9EE,CF11 9EE,Cardiff,terraced,15,freehold,2026-04-20,400000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
23 Compton Street Grangetown Cardiff CF11 6TJ,CF11 6TJ,Cardiff,terraced,24,freehold,2026-04-20,225000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
61 The Maltings Pontprennau Cardiff CF23 8EQ,CF23 8EQ,Cardiff,semi-detached,16,freehold,2026-04-20,245000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
122 Mynachdy Road Mynachdy Cardiff CF14 3EB,CF14 3EB,Cardiff,semi-detached,37,freehold,2026-04-17,315000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
84 Heol-yr-odyn Caerau Cardiff CF5 5QX,CF5 5QX,Cardiff,semi-detached,32,freehold,2026-04-17,240000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
38 St Andrews Drive Glasgow G61 4NW,G61 4NW,Glasgow,detached,24,,2026-04-30,375000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
104 Allanton Drive Glasgow G52 2EN,G52 2EN,Glasgow,semi-detached,16,,2026-04-30,208500,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 0/2 66 Fergus Drive Glasgow G20 6AW,G20 6AW,Glasgow,flat,22,,2026-04-30,265000,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
Flat 1/1 540 Balmore Road Glasgow G22 6QW,G22 6QW,Glasgow,flat,17,,2026-04-30,88888,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
127 Parklands Oval Glasgow G53 7UE,G53 7UE,Glasgow,terraced,,,2026-04-30,290225,sold_price,transaction,rightmove_via_hm_land_registry,2026-08-09
